nodes,games,attacker_wins,defender_wins,attacker_win_rate,mean_total_damage,mean_final_damage_ratio,mean_edges
5.0,480,373,107,0.7771,14.9271,2.4436,4.7
10.0,480,293,187,0.6104,8.4938,1.9249,15.8
