defense_budget,games,attacker_wins,defender_wins,attacker_win_rate,mean_total_damage,mean_final_damage_ratio,mean_edges
0.0,480,407,73,0.8479,14.1479,2.5082,10.25
2.0,480,259,221,0.5396,9.2729,1.8603,10.25
