graph,attacker,defender,seed,nodes,edges,actual_density,density_parameter,attack_budget,defense_budget,attack_multiplier,rounds_requested,rounds_played,initial_length,final_length,total_damage,mean_round_damage,max_round_damage,mean_damage_ratio,final_damage_ratio,total_attacked_edges,unique_attacked_edges,mean_protected_edges,runtime_seconds
Grid / lattice,Random,Greedy,1,5,5,0.5,0.35,1,0,3.0,3,3,5,11.0,6.0,2.0,6.0,1.4000000000000001,2.2,3,3,0.0,0.0003
Grid / lattice,Random,Greedy,1,5,5,0.5,0.35,1,2,3.0,3,3,5,5,0,0.0,0,1.0,1.0,3,3,2.0,0.0039
Grid / lattice,Random,Greedy,1,5,5,0.5,0.35,2,0,3.0,3,3,5,15.0,10.0,3.3333333333333335,6.0,1.5212121212121212,3.0,5,5,0.0,0.0003
Grid / lattice,Random,Greedy,1,5,5,0.5,0.35,2,2,3.0,3,3,5,5,0,0.0,0,1.0,1.0,3,3,2.0,0.0062
Grid / lattice,Random,Greedy,0,10,13,0.2889,0.35,1,0,3.0,3,3,14,14,0,0.0,0,1.0,1.0,3,3,0.0,0.0005
Grid / lattice,Random,Greedy,0,10,13,0.2889,0.35,1,2,3.0,3,3,14,14,0,0.0,0,1.0,1.0,3,3,2.0,0.0444
Grid / lattice,Random,Greedy,0,10,13,0.2889,0.35,2,0,3.0,3,3,14,26.0,12.0,4.0,12.0,1.2857142857142858,1.8571428571428572,6,6,0.0,0.0006
Grid / lattice,Random,Greedy,0,10,13,0.2889,0.35,2,2,3.0,3,3,14,14,0,0.0,0,1.0,1.0,6,6,2.0,0.0858
Grid / lattice,Random,Greedy,1,10,13,0.2889,0.35,1,0,3.0,3,3,12,16,4,1.3333333333333333,4,1.111111111111111,1.3333333333333333,3,3,0.0,0.0005
Grid / lattice,Random,Greedy,1,10,13,0.2889,0.35,1,2,3.0,3,3,12,14,2,0.6666666666666666,2,1.0555555555555556,1.1666666666666667,3,3,1.3333333333333333,0.0311
Grid / lattice,Random,Greedy,1,10,13,0.2889,0.35,2,0,3.0,3,3,12,14.0,2.0,0.6666666666666666,2,1.0555555555555556,1.1666666666666667,6,6,0.0,0.0005
Grid / lattice,Random,Greedy,1,10,13,0.2889,0.35,2,2,3.0,3,3,12,20.0,8.0,2.6666666666666665,4,1.1898148148148149,1.6666666666666667,6,6,2.0,0.0856
Grid / lattice,Shortest path,None,0,5,5,0.5,0.35,1,0,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.4886363636363635,3.0,3,3,0.0,0.0003
Grid / lattice,Shortest path,None,0,5,5,0.5,0.35,1,2,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.4886363636363635,3.0,3,3,0.0,0.0003
Grid / lattice,Shortest path,None,0,5,5,0.5,0.35,2,0,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.5,3.0,5,5,0.0,0.0003
